,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
open,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
high,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
low,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
close,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
volume,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,
close_time,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
quote_volume,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,
count,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,
taker_buy_volume,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,
taker_buy_quote_volume,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,
ignore,,,,,,,,,,,
